url,written,written_human_readable,shape,shards,chunks,dimension_names,license,name,description,organismId,fbbiId
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2971-3070 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x DIC).ome.zarr,16824705063,15.67 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2971-3070 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x DIC).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3071-3170 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x).ome.zarr,16805978306,15.65 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3071-3170 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2871-2970 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x).ome.zarr,16842250476,15.69 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2871-2970 Asterella gracilis (Mannia gracilis) thallus with air pore cross section (40x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3672-3771 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,16827624423,15.67 GB,"1,3,100,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3672-3771 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0633-0682 Asterella gracilis (Mannia gracilis) stature.ome.zarr,15435287366,14.38 GB,"1,3,50,5464,8192","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0633-0682 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2221-2305 Asterella gracilis (Mannia gracilis) ventral scales (20x).ome.zarr,13256710353,12.35 GB,"1,3,85,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2221-2305 Asterella gracilis (Mannia gracilis) ventral scales (20x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2051-2135 Asterella gracilis (Mannia gracilis) ventral scales (20x).ome.zarr,13204666761,12.30 GB,"1,3,85,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2051-2135 Asterella gracilis (Mannia gracilis) ventral scales (20x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2136-2220 Asterella gracilis (Mannia gracilis) ventral scales (20x).ome.zarr,13190419069,12.28 GB,"1,3,85,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2136-2220 Asterella gracilis (Mannia gracilis) ventral scales (20x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0473-0512 Asterella gracilis (Mannia gracilis) stature.ome.zarr,13214825121,12.31 GB,"1,3,40,5464,8192","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0473-0512 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2306-2390 Asterella gracilis (Mannia gracilis) ventral scales (20x).ome.zarr,12705892797,11.83 GB,"1,3,85,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2306-2390 Asterella gracilis (Mannia gracilis) ventral scales (20x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0388-0467 Asterella gracilis (Mannia gracilis) stature.ome.zarr,11671994190,10.87 GB,"1,3,80,3888,5184","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0388-0467 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3992-4051 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,10168229691,9.47 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3992-4051 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_4052-4111 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,10102182656,9.41 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_4052-4111 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2691-2750 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,9805216651,9.13 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2691-2750 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2631-2690 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,9899606335,9.22 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2631-2690 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3932-3991 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,10057549288,9.37 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3932-3991 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_4112-4171 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,10097317435,9.40 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_4112-4171 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_4172-4231 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,10107352291,9.41 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_4172-4231 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_3872-3931 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,10028858070,9.34 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_3872-3931 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2511-2570 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,9808698467,9.14 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2511-2570 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2571-2630 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,9733802415,9.07 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2571-2630 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2751-2810 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,9758516623,9.09 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2751-2810 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2811-2870 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,9669848030,9.01 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2811-2870 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0222-0291 Asterella gracilis (Mannia gracilis) stature.ome.zarr,10261449591,9.56 GB,"1,3,70,3888,5184","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0222-0291 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2451-2510 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,9510993094,8.86 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2451-2510 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_2391-2450 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,9447911621,8.80 GB,"1,3,60,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_2391-2450 Asterella gracilis (Mannia gracilis) thallus cross section (10x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_1451-1500 Asterella gracilis (Mannia gracilis) stature ventral side (Laowa 5.0x on macro bellow 8x).ome.zarr,8270574392,7.70 GB,"1,3,50,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_1451-1500 Asterella gracilis (Mannia gracilis) stature ventral side (Laowa 5.0x on macro bellow 8x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_1201-1225 Asterella gracilis (Mannia gracilis) stature.ome.zarr,8611183511,8.02 GB,"1,3,25,5792,8688","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_1201-1225 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0162-0221 Asterella gracilis (Mannia gracilis) stature.ome.zarr,8821906806,8.22 GB,"1,3,60,3888,5184","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0162-0221 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_1551-1600 Asterella gracilis (Mannia gracilis) stature dorsal side (Laowa 5.0x on macro bellow 8x).ome.zarr,8172987690,7.61 GB,"1,3,50,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_1551-1600 Asterella gracilis (Mannia gracilis) stature dorsal side (Laowa 5.0x on macro bellow 8x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0308-0367 Asterella gracilis (Mannia gracilis) stature.ome.zarr,8791346226,8.19 GB,"1,3,60,3888,5184","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0308-0367 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_1301-1350 Asterella gracilis (Mannia gracilis) stature ventral side (Laowa 5.0x on macro bellow 8x).ome.zarr,8080968500,7.53 GB,"1,3,50,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_1301-1350 Asterella gracilis (Mannia gracilis) stature ventral side (Laowa 5.0x on macro bellow 8x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_1401-1450 Asterella gracilis (Mannia gracilis) stature ventral side (Laowa 5.0x on macro bellow 8x).ome.zarr,8029229452,7.48 GB,"1,3,50,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_1401-1450 Asterella gracilis (Mannia gracilis) stature ventral side (Laowa 5.0x on macro bellow 8x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_0027-0086 Asterella gracilis (Mannia gracilis) stature.ome.zarr,8773394232,8.17 GB,"1,3,60,3888,5184","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_0027-0086 Asterella gracilis (Mannia gracilis) stature.ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
https://uk1s3.embassy.ebi.ac.uk/idr/share/ome2024-ngff-challenge/idr0157/Asterella gracilis SWE/IMG_1601-1650 Asterella gracilis (Mannia gracilis) stature dorsal side (Laowa 5.0x on macro bellow 8x).ome.zarr,8028251424,7.48 GB,"1,3,50,4160,6240","1,3,1,1024,1024","1,1,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,idr0157 Peters Bryophytes: IMG_1601-1650 Asterella gracilis (Mannia gracilis) stature dorsal side (Laowa 5.0x on macro bellow 8x).ome.zarr,Estimating essential phenotypic and molecular traits from integrative biodiversity data,NCBI:txid122620,
